Name,State,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
Carver,MN,91042,70205,49691,40.9,783,25.1,354.33
Cass,MN,28567,27150,30456,21.3,393,21.8,2021.54
Chippewa,MN,12441,13088,32590,14.6,385,15.3,581.12
Chisago,MN,53887,41101,33148,17.1,673,31.8,414.86
Clay,MN,58999,51229,30390,31.4,520,17.2,1045.37
Clearwater,MN,8695,8423,24859,13.9,318,26.4,998.94
Cook,MN,5176,5168,32471,27.4,422,14.4,1452.28
Cottonwood,MN,11687,12167,34450,17.4,326,14.8,638.61
Crow Wing,MN,62500,55099,29358,21.9,526,20.4,999.1
Dakota,MN,398552,355904,45045,37.9,814,23.7,562.17
Dodge,MN,20087,17731,34063,19.6,490,22.5,439.28
Douglas,MN,36009,32821,32388,20.6,505,17.6,637.3
Faribault,MN,14553,16181,35615,14.4,331,20.7,712.48
Fillmore,MN,20866,21122,30777,18.3,402,25.3,861.3
Freeborn,MN,31255,32584,31501,14.6,418,17.9,707.09
Goodhue,MN,46183,44127,35993,22.3,552,22.8,756.84
Grant,MN,6018,6289,28936,17.2,340,20,548.16
Hennepin,MN,1152425,1116200,56280,43.7,771,22.1,553.59
Houston,MN,19027,19718,33016,21.4,410,19.8,552.06
Hubbard,MN,20428,18376,27984,22,473,20.2,925.68
Isanti,MN,37816,31287,31570,15.9,686,33.2,435.79
Itasca,MN,45058,43992,28050,19.3,488,20.9,2667.72
Jackson,MN,10266,11268,32095,14.1,393,16.2,702.98
Kanabec,MN,16239,14996,26558,14.3,575,32,521.59
Kandiyohi,MN,42239,41203,34725,21.5,466,17,796.79
Kittson,MN,4552,5285,31322,17.7,347,20.8,1098.8
Koochiching,MN,13311,14355,30603,16.7,376,16.1,3104.07
Lac qui Parle,MN,7259,8067,33041,17.3,328,17.8,765.02
Lake,MN,10866,11058,35163,18,497,20.2,2109.29
Lake of the Woods,MN,4045,4522,25389,21,438,18.1,1297.87
Le Sueur,MN,27703,25426,30834,19.9,468,24.4,448.76
Lincoln,MN,5896,6429,32723,17.7,321,19.1,536.76
Lyon,MN,25857,25425,34358,25.6,466,14,714.56
Mahnomen,MN,5413,5190,28117,13.9,335,21.4,557.88
Marshall,MN,9439,10155,31624,15.6,378,22.7,1775.07
Martin,MN,20840,21802,35470,17.2,372,14.9,712.35
McLeod,MN,36651,34898,31356,18,551,20.6,491.47
Meeker,MN,23300,22644,30158,15.2,508,23.4,608.18
Mille Lacs,MN,26097,22330,25121,13.9,484,28.1,572.31
Morrison,MN,33198,31712,26688,14.1,453,24.4,1125.06
Mower,MN,39163,38603,34045,15.9,493,18.3,711.33
Murray,MN,8725,9165,33308,15.1,365,18.1,704.7
Nicollet,MN,32727,29771,34229,33.7,563,16,448.49
Nobles,MN,21378,20832,32708,16.7,409,14.8,715.11
Norman,MN,6852,7442,33572,14.4,314,21.6,872.79
Olmsted,MN,144248,124277,42917,39.3,624,16.5,653.35
Otter Tail,MN,57303,57159,29763,19.7,432,19,1972.07
Pennington,MN,13930,13584,35873,14.8,392,14.8,616.57
Pine,MN,29750,26530,25230,13.2,481,27.1,1411.29
Pipestone,MN,9596,9895,33421,15.9,319,15.8,465.06
Polk,MN,31600,31369,30420,20,420,16.8,1971.13
Pope,MN,10995,11236,31901,18,423,19.1,669.71
Ramsey,MN,508640,511035,45180,38.9,726,21.8,152.21
Red Lake,MN,4089,4299,28206,12.3,374,22.9,432.41
Redwood,MN,16059,16815,30675,15.4,394,15.6,878.57
Renville,MN,15730,17154,29455,15.6,405,18.4,982.91
Rice,MN,64142,56665,29755,26.4,631,21,495.68
Rock,MN,9687,9721,32588,16.2,390,21.5,482.46
Roseau,MN,15629,16338,35150,17.3,433,14.5,1671.6
Scott,MN,129928,89498,39042,35.1,802,26.3,356.48
Sherburne,MN,88499,64417,29529,24.1,710,31.1,432.92
Sibley,MN,15226,15356,30062,13.5,474,24.1,588.78
St. Louis,MN,200226,200528,34674,25,550,19.3,6247.4
Stearns,MN,150642,133166,31951,23.5,607,20.3,1343.13
Steele,MN,36576,33680,34097,21,567,17.5,429.65
Stevens,MN,9726,10053,32374,23,465,11.3,563.6
Swift,MN,9783,11956,26206,13.7,371,16.1,742.08
Todd,MN,24895,24426,25017,12,414,23.3,944.98
Traverse,MN,3558,4134,28910,13.7,344,11.6,573.9
Wabasha,MN,21676,21610,32774,17,460,22.5,522.98
Wadena,MN,13843,13713,25718,15.1,329,20.5,536.27
Waseca,MN,19136,19526,30051,18.7,464,17.3,423.36
Washington,MN,238136,201130,47351,39.4,862,25.3,384.28
Watonwan,MN,11211,11876,30343,14.3,397,15.4,434.95
Wilkin,MN,6576,7138,32226,16.3,404,18.8,750.96
Winona,MN,51461,49985,32964,25.9,483,16.2,626.21
Wright,MN,124700,89986,33122,23,662,29.6,661.46
Yellow Medicine,MN,10438,11080,33740,16.7,373,18.8,759.1
Adair,MO,25607,24977,23388,23.7,411,12.9,567.32
Andrew,MO,17291,16492,33641,21.1,477,22.9,432.7
Atchison,MO,5685,6430,28052,20,279,19.9,547.3
Audrain,MO,25529,25853,26289,13.1,360,20.5,692.24
Barry,MO,35597,34010,24410,11.5,361,22.2,778.25
Barton,MO,12402,12541,22593,14.4,331,22.9,591.92
Bates,MO,17049,16653,27362,11.7,348,28.7,836.69
Benton,MO,19056,17180,23663,10.7,364,30.1,704.06
Bollinger,MO,12363,12029,22154,8.8,326,32.7,617.91
Boone,MO,162642,135454,32884,45,564,17.6,685.41
Buchanan,MO,89201,85998,28997,18.2,456,17.7,408.03
Butler,MO,42794,40867,28208,14.1,363,16.4,694.67
Caldwell,MO,9424,8969,27224,11.9,375,33.1,426.39
Callaway,MO,44332,40766,25041,20.3,392,20.6,834.58
Camden,MO,44002,37051,30466,19.6,469,20.7,655.92
Cape Girardeau,MO,75674,68693,31300,26.1,440,18.4,578.54
Carroll,MO,9295,10285,26470,15.4,320,27.5,694.62
Carter,MO,6265,5941,23242,8.1,266,26.4,507.36
Cass,MO,99478,82092,31414,21,625,28.4,696.84
Cedar,MO,13982,13733,22866,11.2,319,21.5,474.48
Chariton,MO,7831,8438,27795,15,261,23.4,751.18
Christian,MO,77422,54285,26740,25.6,520,24.1,562.65
Clark,MO,7139,7416,24446,12.6,295,24.6,504.69
Clay,MO,221939,184006,35220,29.4,597,22.6,397.3
Clinton,MO,20743,18979,30144,18.2,445,29.5,418.96
Cole,MO,75990,71397,36223,30.4,428,17.7,393.75
Cooper,MO,17601,16670,25900,14,409,24.9,564.77
Crawford,MO,24696,22804,26727,10.1,360,28.2,742.52
Dade,MO,7883,7923,24018,9.7,298,26.1,490.01
Dallas,MO,16777,15661,24093,10.8,338,29.1,540.77
Daviess,MO,8433,8016,24328,13,331,29,563.24
