Name,State,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
Treasure,MT,718,861,25248,18.4,295,16.4,977.4
Valley,MT,7369,7675,31556,17.4,289,13.4,4925.82
Wheatland,MT,2168,2259,27423,19.3,182,16,1423.2
Wibaux,MT,1017,1068,27141,20,332,15.7,889.27
Yellowstone,MT,147972,129352,38124,27.7,535,17.2,2633.29
Yellowstone National Park,MT,0,0,0,0,0,0,0
Alamance,NC,151131,130800,29575,21,535,21.7,423.94
Alexander,NC,37198,33603,28349,12.2,418,23.9,259.99
Alleghany,NC,11155,10677,25905,16.5,349,23.8,235.06
Anson,NC,26948,25275,26196,7.2,379,24.5,531.45
Ashe,NC,27281,24384,25962,16.5,376,24.5,426.14
Avery,NC,17797,17167,24656,21.8,487,21.5,247.09
Beaufort,NC,47759,44958,29175,17.4,361,26.2,827.19
Bertie,NC,21282,19773,25656,9.6,336,26.6,699.27
Bladen,NC,35190,32278,26033,11.6,332,25.5,874.33
Brunswick,NC,107431,73143,29379,21.6,550,24.4,846.97
Buncombe,NC,238318,206330,33347,30.6,587,20.6,656.67
Burke,NC,90912,89148,27595,14.5,409,21.4,507.1
Cabarrus,NC,178011,131063,34099,22.2,570,26.6,361.75
Caldwell,NC,83029,77415,27240,12.6,413,22.2,471.57
Camden,NC,9980,6885,30377,19.5,617,31.9,240.56
Carteret,NC,66469,59383,34241,24,518,23.6,506.25
Caswell,NC,23719,23501,25917,11.2,337,30.3,424.92
Catawba,NC,154358,141685,31051,19,473,20.8,398.72
Chatham,NC,63505,49329,41901,33.8,572,26.4,682.19
Cherokee,NC,27444,24298,23116,14.9,405,21.6,455.43
Chowan,NC,14793,14526,29610,15.5,400,28.4,172.47
Clay,NC,10587,8775,24519,20,413,26.3,214.75
Cleveland,NC,98078,96287,28151,15.9,430,22.8,464.25
Columbus,NC,58098,54749,27592,11.4,315,26.2,937.29
Craven,NC,103505,91436,33242,21.6,516,19.1,708.96
Cumberland,NC,319431,302963,36548,21.2,592,20.9,652.32
Currituck,NC,23547,18190,32346,15.4,563,31.8,261.85
Dare,NC,33920,29967,35490,32,832,20.2,383.42
Davidson,NC,162878,147246,29332,15.4,431,22.3,552.68
Davie,NC,41240,34835,34594,21.4,496,22.8,264.11
Duplin,NC,58505,49063,25214,9.9,335,23.9,816.22
Durham,NC,267587,223314,37308,44,667,22,285.98
Edgecombe,NC,56552,55606,26605,9.9,348,19.8,505.34
Forsyth,NC,350670,306067,37600,30.8,530,20.4,408.15
Franklin,NC,60619,47260,27685,14.3,436,32.1,491.68
Gaston,NC,206086,190365,31585,17.3,506,24.3,356.03
Gates,NC,12197,10516,24302,11.9,428,38.3,340.45
Graham,NC,8861,7993,25487,9.2,269,17,292.08
Granville,NC,59916,48498,25763,13.4,450,26.6,531.57
Greene,NC,21362,18974,23442,11.1,346,23.6,265.93
Guilford,NC,488406,421048,37013,32.2,587,21,645.7
Halifax,NC,54691,57370,25153,11.7,358,22.1,724.09
Harnett,NC,114678,91025,26612,16,473,28,594.99
Haywood,NC,59036,54033,29356,20.3,494,21.8,553.69
Henderson,NC,106740,89173,33500,26,541,21.5,373.07
Hertford,NC,24669,22601,24923,14.9,371,23,353.06
Hoke,NC,46952,33646,24050,13.8,471,25,390.74
Hyde,NC,5810,5826,27312,11.5,335,25.6,612.7
Iredell,NC,159437,122660,31715,20.3,536,23.7,573.83
Jackson,NC,40271,33121,27762,26.2,451,20.6,490.76
Johnston,NC,168878,121965,31238,18.8,488,28.5,791.3
Jones,NC,10153,10381,28860,10.4,318,26.4,470.71
Lee,NC,57866,49040,30052,18.1,435,21.7,254.96
Lenoir,NC,59495,59648,29600,13.9,381,21.7,400.59
Lincoln,NC,78265,63780,30450,17.1,462,28.1,297.94
Macon,NC,33922,29811,28443,19.5,479,20.8,515.56
Madison,NC,20764,19635,25008,19.4,412,29.9,449.57
Martin,NC,24505,25593,27786,12.1,324,22,461.22
McDowell,NC,44996,42151,24447,13.2,373,22.2,440.61
Mecklenburg,NC,919628,695454,45483,40.5,685,24.6,523.84
Mitchell,NC,15579,15687,23710,14.6,326,25.7,221.43
Montgomery,NC,27798,26822,26270,13.3,360,24,491.76
Moore,NC,88247,74769,37800,27.9,503,22.1,697.84
Nash,NC,95840,87420,31374,18.9,446,20.7,540.41
New Hanover,NC,202667,160307,35461,35.5,691,19.6,191.53
Northampton,NC,22099,22086,28389,12.8,310,24.3,536.59
Onslow,NC,177772,150355,35222,16.8,584,20.4,762.74
Orange,NC,133801,118227,43844,53.7,683,21.8,397.96
Pamlico,NC,13144,12934,32036,15.3,443,26.4,336.54
Pasquotank,NC,40661,34897,25822,19.2,491,23.1,226.88
Pender,NC,52217,41082,26669,16.5,500,27.9,869.8
Perquimans,NC,13453,11368,28122,15.2,397,29.6,247.09
Person,NC,39464,35623,27706,13.4,452,29.8,392.32
Pitt,NC,168148,133798,30984,28.7,480,19.5,651.98
Polk,NC,20510,18324,38715,26.3,484,26.7,237.79
Randolph,NC,141752,130454,27160,12.9,434,22.6,782.52
Richmond,NC,46639,46564,25574,11.1,327,19.4,473.82
Robeson,NC,134168,123339,22943,12.7,328,24.3,949.22
Rockingham,NC,93643,91928,27550,12.5,399,25.2,565.55
Rowan,NC,138428,130340,29407,16.4,490,22.8,511.37
Rutherford,NC,67810,62899,26702,14.5,355,23.3,564.15
Sampson,NC,63431,60161,26553,12.4,340,24.4,944.74
Scotland,NC,36157,35998,24326,15.2,363,19.5,318.85
Stanly,NC,60585,58100,28803,15.2,416,25.3,395.09
Stokes,NC,47401,44711,27141,10.8,385,28.8,448.86
Surry,NC,73673,71219,28497,14.3,367,24.1,532.17
Swain,NC,13981,12968,24500,19,452,17.4,528
Transylvania,NC,33090,29334,31837,28.9,487,22,378.53
Tyrrell,NC,4407,4149,24714,7.3,271,29.3,389.04
Union,NC,201292,123677,32086,26.7,602,28.5,631.52
Vance,NC,45422,42954,26730,11.5,374,23.4,253.52
Wake,NC,900993,627846,41714,47.5,691,23.9,835.22
Warren,NC,20972,19972,21770,13,323,30.2,428.46
Washington,NC,13228,13723,26323,11.5,316,25.6,348.14
Watauga,NC,51079,42695,30568,34.9,604,18.7,312.56
Wayne,NC,122623,113329,28974,16.4,414,21,553.09
Wilkes,NC,69340,65632,30659,12,381,23.6,754.28
Wilson,NC,81234,73814,30833,17.1,429,19.8,368.17
Yadkin,NC,38406,36348,27611,10.6,376,25.5,334.83
Yancey,NC,17818,17774,22797,15.7,332,26.2,312.6
Adams,ND,2343,2593,32011,17.3,288,12.8,987.62
Barnes,ND,11066,11775,36260,26.2,362,14.3,1491.55
Benson,ND,6660,6964,24533,10.3,188,15.3,1388.71
Billings,ND,783,888,32677,19.2,330,18.4,1148.85
Bottineau,ND,6429,7149,42736,20.8,335,18.2,1668.42
Bowman,ND,3151,3242,42903,18.1,322,12.9,1161.81
Burke,ND,1968,2242,44732,16.6,276,18.5,1103.57
Burleigh,ND,81308,69416,37269,31.8,512,16.3,1632.65
Cass,ND,149778,123138,38872,34.7,539,16.1,1764.94
Cavalier,ND,3993,4831,46690,17.1,306,13.4,1488.75
Dickey,ND,5289,5757,36801,18.2,339,13.7,1131.47
Divide,ND,2071,2283,37791,17.5,306,14.7,1260.79
Dunn,ND,3536,3600,26440,13.2,194,24,2008.46
Eddy,ND,2385,2757,32627,15.5,318,17.5,630.17
Emmons,ND,3550,4331,35458,13.8,220,19.4,1510.44
Foster,ND,3343,3759,35618,18.7,338,13.4,635.45
Golden Valley,ND,1680,1924,25764,19,258,16.5,1000.79
Grand Forks,ND,66861,66109,33345,31.8,550,13.6,1436.38
Grant,ND,2394,2841,28134,16.9,293,24,1659.14
Griggs,ND,2420,2754,36140,22.4,288,19,708.82
Hettinger,ND,2477,2715,44081,19.8,284,15.3,1132.22
Kidder,ND,2435,2753,28156,15.7,308,24.6,1351.19
LaMoure,ND,4139,4701,45565,18.1,314,18.1,1145.94
Logan,ND,1990,2308,37932,12.4,319,18.6,992.82
McHenry,ND,5395,5987,32287,16.5,276,28.9,1873.95
McIntosh,ND,2809,3390,34929,17.1,283,11.3,974.73
McKenzie,ND,6360,5737,32927,21.3,320,19.6,2760.32
McLean,ND,8962,9311,38108,18.4,308,22.6,2110.88
Mercer,ND,8424,8644,39550,17.8,326,16,1042.96
Morton,ND,27471,25303,31070,21.3,440,19.7,1926.27
Mountrail,ND,7673,6631,32324,21.4,319,16.9,1825.3
Nelson,ND,3126,3715,32238,17.9,286,21.9,981.78
Oliver,ND,1846,2065,35377,18.1,288,21.3,722.51
Pembina,ND,7413,8585,35938,16.3,352,16.1,1118.69
Pierce,ND,4357,4675,29655,11.2,311,15.6,1018.6
Ramsey,ND,11451,12066,35813,22.8,386,11,1186.85
Ransom,ND,5457,5890,31587,17.5,389,18,862.36
Renville,ND,2470,2610,48863,19,323,21.5,877.05
Richland,ND,16321,17998,32559,20,362,19.5,1435.78
Rolette,ND,13937,13674,23809,18,202,14.8,903.08
Sargent,ND,3829,4366,40783,14.7,331,17.7,858.51
Sheridan,ND,1321,1710,38036,13.2,244,17.5,972.38
Sioux,ND,4153,4044,17602,14.1,139,17.6,1094.09
Slope,ND,727,767,30374,23.1,365,20,1214.92
Stark,ND,24199,22636,35186,23.3,448,15.2,1334.74
Steele,ND,1975,2258,47872,19.6,319,16.1,712.22
Stutsman,ND,21100,21908,36466,22.8,406,13.5,2221.72
Towner,ND,2246,2876,42426,22.4,276,15.4,1024.56
Traill,ND,8121,8477,35836,25.3,399,18.4,861.95
Walsh,ND,11119,12389,35558,16.2,367,16.5,1281.93
Ward,ND,61675,58795,37104,25.6,476,14.4,2013.28
Wells,ND,4207,5102,40024,16.7,304,12.8,1271.05
Williams,ND,22398,19761,40708,18.4,398,16,2077.4
Adams,NE,31364,31151,29371,22.3,442,15.1,563.27
Antelope,NE,6685,7452,29248,16,267,17.2,857.22
Arthur,NE,460,444,18853,14.9,245,20.1,715.36
Banner,NE,690,819,26335,24.6,248,25.4,746.11
Blaine,NE,478,583,19259,19.8,177,16.7,710.87
Boone,NE,5505,6259,30930,15.9,227,18.9,686.55
Box Butte,NE,11308,12158,33606,21.6,360,12.2,1075.29
Boyd,NE,2099,2438,22291,12.8,198,18.6,539.94
Brown,NE,3145,3525,28135,15.8,272,12.1,1221.33
Buffalo,NE,46102,42259,31309,32.2,488,14.1,968.11
Burt,NE,6858,7791,30537,19.3,332,23.1,491.58
Butler,NE,8395,8767,30101,16.3,340,20.8,584.91
Cass,NE,25241,24334,34610,22.7,472,26,557.45
Cedar,NE,8852,9615,33056,15.4,306,16.4,740.31
Chase,NE,3966,4068,31406,15.5,293,10.5,894.42
Cherry,NE,5713,6148,27308,22.3,416,12.1,5960.42
Cheyenne,NE,9998,9830,37010,26.2,385,14.2,1196.29
Clay,NE,6542,7039,29337,17.2,321,18.1,572.29
Colfax,NE,10515,10441,30513,10.2,403,19.1,411.66
Cuming,NE,9139,10203,36387,16.2,312,14.9,570.62
Custer,NE,10939,11793,33283,17,233,17.3,2575.52
Dakota,NE,21006,20253,25569,13.8,492,15.8,264.26
Dawes,NE,9182,9060,23537,30.9,344,12.9,1396.46
Dawson,NE,24326,24365,26240,14.9,365,14.8,1013.1
Deuel,NE,1941,2098,31351,19.7,316,18.4,439.85
Dixon,NE,6000,6339,32742,14,320,21.4,476.23
Dodge,NE,36691,36160,31243,18.1,477,17.6,528.71
Douglas,NE,517110,463585,45946,34.7,588,18.1,328.46
Dundy,NE,2008,2292,33356,25.4,244,15.3,919.68
Fillmore,NE,5890,6634,33949,16.9,295,13.9,575.37
Franklin,NE,3225,3574,28393,18.5,297,18.9,575.82
Frontier,NE,2756,3099,34391,22,326,20.1,974.59
Furnas,NE,4959,5324,28689,16,264,22.8,719.13
Gage,NE,22311,22993,33076,17.4,400,20.6,851.49
Garden,NE,2057,2292,31989,22.4,248,14.9,1704.28
Garfield,NE,2049,1902,28712,14.6,226,13.7,569.79
Gosper,NE,2044,2143,28771,16.9,364,19,458.16
Grant,NE,614,747,12358,18,238,13.6,776.22
Greeley,NE,2538,2714,29263,13.1,262,18.4,569.81
Hall,NE,58607,53534,33223,16.7,452,14.8,546.29
Hamilton,NE,9124,9403,30294,20.6,344,17.9,542.88
Harlan,NE,3423,3786,27667,17.9,243,20,553.47
Hayes,NE,967,1068,25360,18.7,328,22.5,713.06
Hitchcock,NE,2908,3111,26239,13.1,294,17,709.94
Holt,NE,10435,11551,31910,16.7,270,14.4,2412.4
Hooker,NE,736,783,18294,25.3,141,13.8,721.12
Howard,NE,6274,6567,28353,12.3,330,21.9,569.34
Jefferson,NE,7547,8333,32691,13.8,317,16.4,570.19
Johnson,NE,5217,4488,30010,14.1,329,23.4,376.05
Kearney,NE,6489,6882,33384,23.9,386,17.6,516.24
Keith,NE,8368,8875,28303,19,352,15.8,1061.6
Keya Paha,NE,824,983,21254,10.8,260,15,773.07
Kimball,NE,3821,4089,30250,19,375,17.9,951.85
Knox,NE,8701,9374,26975,16,230,16.7,1108.35
Lancaster,NE,285407,250291,35360,35,557,17.7,837.55
Lincoln,NE,36288,34632,31184,18.7,435,15.6,2564.07
Logan,NE,763,774,26897,21.4,362,28.5,570.66
Loup,NE,632,712,8579,11.1,192,28.9,568.29
Madison,NE,34876,35226,31916,17.7,406,15.1,572.74
McPherson,NE,539,533,15913,21.2,294,26.7,858.98
Merrick,NE,7845,8204,29338,15.5,344,22.3,484.88
Morrill,NE,5042,5440,27599,19.6,343,17.4,1423.84
Nance,NE,3735,4038,31190,12.6,286,23.1,441.63
Nemaha,NE,7248,7576,32920,23.3,355,17.7,407.38
Nuckolls,NE,4500,5057,28490,13.8,275,14.3,575.16
Otoe,NE,15740,15396,29802,20.9,428,20.5,615.63
Pawnee,NE,2773,3087,30441,15.5,206,21.8,431.08
Perkins,NE,2970,3200,33292,18.8,339,15.7,883.34
Phelps,NE,9188,9747,34413,20.1,350,13.1,539.79
Pierce,NE,7266,7857,29560,15,327,19,573.25
Platte,NE,32237,31662,32779,18.5,432,14.9,674.06
Polk,NE,5406,5639,32433,14.7,268,18.1,438.35
Red Willow,NE,11055,11448,30516,19,347,13.6,716.99
Richardson,NE,8363,9531,30960,13.8,280,17.3,551.84
Rock,NE,1526,1756,23001,19.2,315,16.1,1008.32
Saline,NE,14200,13843,30142,15.8,459,17.4,574.02
Sarpy,NE,158840,122595,36356,34.9,666,19.6,238.99
Saunders,NE,20780,19830,35402,23.2,535,25.5,750.23
Scotts Bluff,NE,36970,36951,30894,18.7,405,15.3,739.4
Seward,NE,16750,16496,33486,26.6,385,19.5,571.43
Sheridan,NE,5469,6198,24623,20.7,290,18,2440.86
Sherman,NE,3152,3318,29090,14,287,26.3,565.83
Sioux,NE,1311,1475,19503,25.5,382,19.7,2066.74
Stanton,NE,6129,6455,31392,12.1,397,18.1,427.95
Thayer,NE,5228,6055,34720,15.4,257,14.8,573.81
Thomas,NE,647,729,18735,20.9,305,23.4,713.24
Thurston,NE,6940,7171,25507,12.1,248,16.6,393.58
Valley,NE,4260,4647,27986,17.1,265,14.3,568.05
Washington,NE,20234,18780,37113,28.8,557,23,389.96
Wayne,NE,9595,9851,29370,26,345,14.2,442.92
Webster,NE,3812,4061,31402,12.1,302,17.8,574.91
Wheeler,NE,818,886,26742,19.6,367,15.4,575.18
York,NE,13665,14598,32536,19.4,410,13.8,572.51
Belknap,NH,60088,56325,38176,25.7,700,24.1,400.23
Carroll,NH,47818,43666,38655,29.9,649,24.6,931.06
Cheshire,NH,77117,73825,36507,29.9,748,21.4,706.66
Coos,NH,33055,33111,31179,16.7,498,22,1794.69
Grafton,NH,89118,81743,44894,34.6,723,20.8,1708.75
Hillsborough,NH,400721,380841,43625,34.1,873,25.6,876.14
Merrimack,NH,146445,136225,38661,33,769,25,934.12
Rockingham,NH,295223,277359,47196,36,910,28.8,694.72
Strafford,NH,123143,112233,33662,29.4,789,25.1,368.98
Sullivan,NH,43742,40458,36362,24.9,645,24.3,537.31
Atlantic,NJ,274549,252552,36325,23.8,815,23.5,555.7
Bergen,NJ,905116,884118,67125,44.2,1104,29.2,233.01
Burlington,NJ,448734,423394,44077,33,902,27.9,798.58
Camden,NJ,513657,508932,39266,27.5,738,26.9,221.26
Cape May,NJ,97265,102326,42052,27.2,784,21.6,251.43
Cumberland,NJ,156898,146438,29599,13.4,662,24.2,483.7
Essex,NJ,783969,793633,50156,30.7,830,30.7,126.21
Gloucester,NJ,288288,254673,37331,26.6,790,27.9,322.01
Hudson,NJ,634266,608975,39292,33.4,911,32.5,46.19
Hunterdon,NJ,128349,121989,66449,48,977,34,427.82
Mercer,NJ,366513,350761,52255,38.7,885,27,224.56
Middlesex,NJ,809858,750162,46674,37.4,1036,31.5,308.91
Monmouth,NJ,630380,615301,54801,38.8,966,33,468.79
Morris,NJ,492276,470212,71713,48.1,1096,29.3,460.18
Ocean,NJ,576567,510916,37228,24.2,1012,31.2,628.78
Passaic,NJ,501226,489049,39389,24.3,898,26.6,184.59
Salem,NJ,66083,64285,35236,17.9,700,29.4,331.9
Somerset,NJ,323444,297490,70949,49.3,1128,30.5,301.81
Sussex,NJ,149265,144166,46630,30.7,922,37.6,519.01
Union,NJ,536499,522541,50797,31.3,925,27.4,102.86
Warren,NJ,108692,102437,40426,28,805,35.2,356.92
Bernalillo,NM,662564,556678,34983,31.6,610,22,1160.83
Catron,NM,3725,3543,19257,24.1,410,27.1,6923.69
Chaves,NM,65645,61382,28254,15.4,423,16,6065.28
Cibola,NM,27213,25595,22252,10.4,299,22.7,4539.48
Colfax,NM,13750,14189,26624,20.2,370,17.8,3758.06
Curry,NM,48376,45044,29449,18.3,423,14.5,1404.8
De Baca,NM,2022,2240,23039,21.3,365,18.5,2322.62
Dona Ana,NM,209233,174682,25106,25,504,18.7,3807.51
Eddy,NM,53829,51658,34523,15.2,444,17.3,4175.73
Grant,NM,29514,31002,26007,22.5,405,15.9,3961.63
Guadalupe,NM,4687,4680,16611,8.3,301,15.6,3030.48
Harding,NM,695,810,16863,12.2,267,14.4,2125.44
Hidalgo,NM,4894,5932,23967,16.8,340,14.2,3436.86
Lea,NM,64727,55511,32550,12.4,432,18,4390.93
Lincoln,NM,20497,19411,25100,24.5,489,15.2,4831.09
Los Alamos,NM,17950,18343,55109,63.4,808,15.7,109.17
Luna,NM,25095,25016,20933,11.1,359,15.7,2965.19
McKinley,NM,71492,74798,20755,11.2,317,21.8,5449.81
Mora,NM,4881,5180,18589,18.3,350,33.5,1931.27
Otero,NM,63797,62298,23310,15.9,435,19.6,6613.21
Quay,NM,9041,10155,24947,14.9,301,18.9,2874.35
Rio Arriba,NM,40246,41190,24053,15.7,399,29.5,5860.84
Roosevelt,NM,19846,18018,28273,20.4,383,15.4,2447.43
San Juan,NM,130044,113801,28598,14.2,522,24.3,5513.07
San Miguel,NM,29393,30126,25290,22.1,421,20.5,4715.82
Sandoval,NM,131561,89908,29476,27.6,755,28.4,3710.65
Santa Fe,NM,144170,129292,42184,38.7,766,21.5,1909.41
Sierra,NM,11988,13270,23508,17.6,369,15.9,4178.96
Socorro,NM,17866,18078,23873,21.7,404,19.4,6646.68
Taos,NM,32937,29979,28858,29.5,594,19.1,2203.11
Torrance,NM,16383,16911,25184,12.4,446,35.2,3344.85
Union,NM,4549,4174,30731,19.3,329,18.1,3823.74
Valencia,NM,76569,66152,26715,16.8,510,30.1,1066.18
Carson City city,NV,55274,52457,41717,21.4,764,17.1,144.66
Churchill,NV,24877,23982,36806,18.2,631,18.2,4930.46
Clark,NV,1951269,1375765,39188,21.3,874,24.3,7891.43
Douglas,NV,46997,41259,56555,25.6,850,22.6,709.72
Elko,NV,48818,45291,34869,15.7,595,26,17169.83
Esmeralda,NV,783,971,40156,18.6,282,19.1,3581.88
Eureka,NV,1987,1651,32622,17.6,534,19,4175.68
Humboldt,NV,16528,16106,30687,13.7,444,25,9640.76
Lander,NV,5775,5794,36994,10.2,474,22.5,5490.11
Lincoln,NV,5345,4165,21988,16.6,616,25.7,10633.2
Lyon,NV,51980,34501,26247,11.8,644,25,2001.19
Mineral,NV,4772,5071,28344,8.5,379,10.5,3752.84
Nye,NV,43946,32485,30799,8.9,625,27.5,18181.92
Pershing,NV,6753,6693,21988,11.5,512,18.8,6036.56
Storey,NV,4010,3399,37695,12.9,613,31.4,262.92
Washoe,NV,421407,339486,45410,26.5,777,21,6302.37
White Pine,NV,10030,9181,37176,10.5,459,19.1,8875.65
Albany,NY,304204,294565,42099,36.6,685,19.5,522.8
Allegany,NY,48946,49927,23292,19.5,410,21.1,1029.31
Bronx,NY,1385108,1332650,26001,17.6,777,41.3,42.1
Broome,NY,200600,200536,31337,25.7,482,18.4,705.77
Cattaraugus,NY,80317,83955,28841,17.7,404,21.2,1308.35
Cayuga,NY,80026,81963,29033,18.2,460,21.4,691.58
Chautauqua,NY,134905,139750,26986,19.8,408,17.5,1060.23
Chemung,NY,88830,91070,29999,20.6,482,19.5,407.35
Chenango,NY,50477,51401,27661,17.2,430,22.7,893.55
Clinton,NY,82128,79894,29500,22.4,540,18.6,1037.85
Columbia,NY,63096,63094,35661,27.6,595,24.9,634.71
Cortland,NY,49336,48599,27130,24.4,507,20.9,498.76
Delaware,NY,47980,48055,28122,18.2,441,20.4,1442.44
Dutchess,NY,297488,280150,41667,31.4,885,29.7,795.63
Erie,NY,919040,950265,36116,28.5,505,20.9,1042.69
Essex,NY,39370,38851,29145,25.8,511,19.9,1794.23
Franklin,NY,51599,51134,25381,16.2,467,18.9,1629.12
Fulton,NY,55531,55073,30033,14.6,450,22.8,495.47
Genesee,NY,60079,60370,29578,18.1,508,22,492.94
Greene,NY,49221,48195,30828,19.2,532,25.1,647.16
Hamilton,NY,4836,5379,30834,24.9,490,19.8,1717.37
Herkimer,NY,64519,64427,27341,18.1,437,23,1411.47
Jefferson,NY,116229,111738,34309,19.1,527,19.5,1268.59
Kings,NY,2504700,2465326,31768,28.3,876,41.6,70.82
Lewis,NY,27087,26944,26193,14.3,458,23.4,1274.68
Livingston,NY,65393,64328,28454,22.2,515,24.4,631.76
Madison,NY,73442,69441,30332,23.1,517,23,654.84
Monroe,NY,744344,735343,39314,34.4,635,19,657.21
Montgomery,NY,50219,49708,30269,15.6,463,24.1,403.04
Nassau,NY,1339532,1334544,62981,40.3,1247,33.1,284.72
New York,NY,1585873,1537195,120790,57.7,1121,30.3,22.83
Niagara,NY,216469,219846,30448,19.1,460,20.6,522.36
Oneida,NY,234878,235469,30623,20.9,461,19.2,1212.43
Onondaga,NY,467026,458336,37227,31.5,573,19,778.39
Ontario,NY,107931,100224,35527,29.8,577,22,644.07
Orange,NY,372813,341367,34643,26.8,850,33.3,811.69
Orleans,NY,42883,44171,25697,14.4,450,23.7,391.26
Oswego,NY,122109,122377,26513,15.3,476,23.9,951.65
Otsego,NY,62259,61676,28235,26.1,524,21.1,1001.7
Putnam,NY,99710,95745,50813,36.8,1114,36.5,230.31
Queens,NY,2230722,2229379,36073,28.8,1034,42,108.53
Rensselaer,NY,159429,152538,34592,26.4,595,22.6,652.43
Richmond,NY,468730,443728,42333,27.9,922,42.5,58.37
Rockland,NY,311687,286753,53482,40.1,1088,29.5,173.55
Saratoga,NY,219607,200635,40714,34.1,699,24.7,809.98
Schenectady,NY,154727,146555,37593,29.2,605,21.6,204.52
Schoharie,NY,32749,31582,29270,18.9,509,26.9,621.82
Schuyler,NY,18343,19224,27741,17,450,25.3,328.33
Seneca,NY,35251,33342,29099,18.5,503,21.1,323.71
St. Lawrence,NY,111944,111931,24854,18.2,438,20.4,2680.38
Steuben,NY,98990,98726,35141,19.5,436,21.6,1390.56
Suffolk,NY,1493350,1419369,47624,31.5,1259,30.1,912.05
Sullivan,NY,77547,73966,31490,20.8,627,26.6,968.13
Tioga,NY,51125,51784,30847,22.3,426,24,518.6
Tompkins,NY,101564,96501,30551,48.7,732,17.8,474.65
Ulster,NY,182493,177749,34051,28.8,771,26.4,1124.24
Warren,NY,65707,63303,33126,25.6,610,20.8,866.95
Washington,NY,63216,61042,27325,17.2,537,26.1,831.18
Wayne,NY,93772,93765,31613,21.4,494,24.3,603.83
Westchester,NY,949113,923459,74878,44.4,1062,31.6,430.5
Wyoming,NY,42155,43424,27401,14.3,461,23.5,592.75
Yates,NY,25348,24621,26299,22.3,432,22.4,338.14
Adams,OH,28550,27330,23977,10.9,351,32.1,583.87
Allen,OH,106331,108473,29519,15.8,441,18.6,402.5
Ashland,OH,53139,52523,25770,17.1,458,21.6,422.95
Ashtabula,OH,101497,102728,27412,13,449,25.1,701.93
Athens,OH,64757,62223,22864,25.2,519,20.6,503.6
Auglaize,OH,45949,46611,32394,14.9,439,18.6,401.39
Belmont,OH,70400,70226,27064,13.4,341,24.4,532.13
Brown,OH,44846,42285,27309,9.2,431,34.1,490.02
Butler,OH,368130,332807,33848,24.3,572,22.9,467.06
Carroll,OH,28836,28836,25620,12,390,30.3,394.61
Champaign,OH,40097,38890,28437,14.3,457,22.7,428.67
Clark,OH,138333,144742,30250,16,451,21.9,397.47
Clermont,OH,197363,177977,34956,23.8,575,28,452.1
Clinton,OH,42040,40543,31033,14.7,482,24.8,408.68
Columbiana,OH,107841,112075,26183,11.8,403,24.2,531.89
Coshocton,OH,36901,36655,26844,11.4,360,21.8,563.91
Crawford,OH,43784,46966,26008,11,398,20.2,401.79
Cuyahoga,OH,1280122,1393978,40838,27.4,559,23.5,457.19
Darke,OH,52959,53309,29405,10.7,413,23,598.1
Defiance,OH,39037,39500,30395,15.1,430,19.1,411.46
Delaware,OH,174214,109989,46227,46.8,617,25.5,443.1
Erie,OH,77079,79551,35222,19.6,504,18.4,251.56
Fairfield,OH,146156,122759,32045,23.2,556,27,504.41
Fayette,OH,29030,28433,30167,13.7,475,23.5,406.36
Franklin,OH,1163414,1068978,38556,35.1,608,21,532.19
Fulton,OH,42698,42084,32158,13.5,463,22.6,405.44
Gallia,OH,30934,31069,28475,13.7,368,25.9,466.53
Geauga,OH,93389,90895,46980,33.6,619,26.6,400.16
Greene,OH,161573,147886,33988,33.4,617,19.9,413.73
Guernsey,OH,40087,40792,25019,11.4,376,23.6,522.25
Hamilton,OH,802374,845303,42730,31.7,526,22.2,405.91
Hancock,OH,74782,71295,34131,23.9,485,17.4,531.36
Hardin,OH,32058,31945,23982,14.8,400,23.4,470.41
Harrison,OH,15864,15856,24869,8.3,328,27.9,402.34
Henry,OH,28215,29210,30410,12.7,448,20.3,416.01
Highland,OH,43589,40875,26924,10.3,420,26.4,553.08
Hocking,OH,29380,28241,25469,10.7,431,32.5,421.32
Holmes,OH,42366,38943,23428,9.1,366,22,422.53
Huron,OH,59626,59487,26730,11.4,425,21.2,491.5
Jackson,OH,33225,32641,24176,11.3,341,25.2,420.3
Jefferson,OH,69709,73894,28159,14.1,360,21.8,408.33
Knox,OH,60921,54500,28455,17.9,477,26.8,525.49
Lake,OH,230041,227511,36437,23.9,653,23.2,227.49
Lawrence,OH,62450,62319,25279,13.2,381,23.1,453.37
Licking,OH,166492,145491,33922,21.7,518,25.8,682.5
Logan,OH,45858,46005,30845,13.6,466,21.6,458.43
Lorain,OH,301356,284664,31719,19.7,519,23.6,491.1
Lucas,OH,441815,455054,33197,21.8,482,19.7,340.86
Madison,OH,43435,40213,31727,15.7,489,25.1,465.88
Mahoning,OH,238823,257555,31404,19.6,441,21,411.62
Marion,OH,66501,66217,28491,12.3,452,19.9,403.76
Medina,OH,172332,151095,36558,28.4,621,27,421.36
Meigs,OH,23770,23072,22226,10,338,29.9,430.1
Mercer,OH,40814,40924,31025,14.3,439,17.6,462.45
Miami,OH,102506,98868,33189,19.5,486,20.4,406.58
Monroe,OH,14642,15180,25250,9.2,309,26.2,455.72
